HIGHLIFE: VERSAO SERIAL
Condicao inicial: 10
Geracao 1: 11
Geracao 2: 13
Geracao 3: 13
Geracao 4: 13
Geracao 5: 12
Geracao 6: 13
Geracao 7: 10
Geracao 8: 6
Geracao 9: 5
Geracao 10: 5
Geracao 11: 5
Geracao 12: 5
Geracao 13: 5
Geracao 14: 5
Geracao 15: 5
Geracao 16: 5
Geracao 17: 5
Geracao 18: 5
Geracao 19: 5
Geracao 20: 5
Geracao 21: 5
Geracao 22: 5
Geracao 23: 5
Geracao 24: 5
Geracao 25: 5
Geracao 26: 5
Geracao 27: 5
Geracao 28: 5
Geracao 29: 5
Geracao 30: 5
Geracao 31: 5
Geracao 32: 5
Geracao 33: 5
Geracao 34: 5
Geracao 35: 5
Geracao 36: 5
Geracao 37: 5
Geracao 38: 5
Geracao 39: 5
Geracao 40: 5
Geracao 41: 5
Geracao 42: 5
Geracao 43: 5
Geracao 44: 5
Geracao 45: 5
Geracao 46: 5
Geracao 47: 5
Geracao 48: 5
Geracao 49: 5
Geracao 50: 5
Geracao 51: 5
Geracao 52: 5
Geracao 53: 5
Geracao 54: 5
Geracao 55: 5
Geracao 56: 5
Geracao 57: 5
Geracao 58: 5
Geracao 59: 5
Geracao 60: 5
Geracao 61: 5
Geracao 62: 5
Geracao 63: 5
Geracao 64: 5
Geracao 65: 5
Geracao 66: 5
Geracao 67: 5
Geracao 68: 5
Geracao 69: 5
Geracao 70: 5
Geracao 71: 5
Geracao 72: 5
Geracao 73: 5
Geracao 74: 5
Geracao 75: 5
Geracao 76: 5
Geracao 77: 5
Geracao 78: 5
Geracao 79: 5
Geracao 80: 5
Geracao 81: 5
Geracao 82: 5
Geracao 83: 5
Geracao 84: 5
Geracao 85: 5
Geracao 86: 5
Geracao 87: 5
Geracao 88: 5
Geracao 89: 5
Geracao 90: 5
Geracao 91: 5
Geracao 92: 5
Geracao 93: 5
Geracao 94: 5
Geracao 95: 5
Geracao 96: 5
Geracao 97: 5
Geracao 98: 5
Geracao 99: 5
Geracao 100: 5
Geracao 101: 5
Geracao 102: 5
Geracao 103: 5
Geracao 104: 5
Geracao 105: 5
Geracao 106: 5
Geracao 107: 5
Geracao 108: 5
Geracao 109: 5
Geracao 110: 5
Geracao 111: 5
Geracao 112: 5
Geracao 113: 5
Geracao 114: 5
Geracao 115: 5
Geracao 116: 5
Geracao 117: 5
Geracao 118: 5
Geracao 119: 5
Geracao 120: 5
Geracao 121: 5
Geracao 122: 5
Geracao 123: 5
Geracao 124: 5
Geracao 125: 5
Geracao 126: 5
Geracao 127: 5
Geracao 128: 5
Geracao 129: 5
Geracao 130: 5
Geracao 131: 5
Geracao 132: 5
Geracao 133: 5
Geracao 134: 5
Geracao 135: 5
Geracao 136: 5
Geracao 137: 5
Geracao 138: 5
Geracao 139: 5
Geracao 140: 5
Geracao 141: 5
Geracao 142: 5
Geracao 143: 5
Geracao 144: 5
Geracao 145: 5
Geracao 146: 5
Geracao 147: 5
Geracao 148: 5
Geracao 149: 5
Geracao 150: 5
Geracao 151: 5
Geracao 152: 5
Geracao 153: 5
Geracao 154: 5
Geracao 155: 5
Geracao 156: 5
Geracao 157: 5
Geracao 158: 5
Geracao 159: 5
Geracao 160: 5
Geracao 161: 5
Geracao 162: 5
Geracao 163: 5
Geracao 164: 5
Geracao 165: 5
Geracao 166: 5
Geracao 167: 5
Geracao 168: 5
Geracao 169: 5
Geracao 170: 5
Geracao 171: 5
Geracao 172: 5
Geracao 173: 5
Geracao 174: 5
Geracao 175: 5
Geracao 176: 5
Geracao 177: 5
Geracao 178: 5
Geracao 179: 5
Geracao 180: 5
Geracao 181: 5
Geracao 182: 5
Geracao 183: 5
Geracao 184: 5
Geracao 185: 5
Geracao 186: 5
Geracao 187: 5
Geracao 188: 5
Geracao 189: 5
Geracao 190: 5
Geracao 191: 5
Geracao 192: 5
Geracao 193: 5
Geracao 194: 5
Geracao 195: 5
Geracao 196: 5
Geracao 197: 5
Geracao 198: 5
Geracao 199: 5
Geracao 200: 5
Geracao 201: 5
Geracao 202: 5
Geracao 203: 5
Geracao 204: 5
Geracao 205: 5
Geracao 206: 5
Geracao 207: 5
Geracao 208: 5
Geracao 209: 5
Geracao 210: 5
Geracao 211: 5
Geracao 212: 5
Geracao 213: 5
Geracao 214: 5
Geracao 215: 5
Geracao 216: 5
Geracao 217: 5
Geracao 218: 5
Geracao 219: 5
Geracao 220: 5
Geracao 221: 5
Geracao 222: 5
Geracao 223: 5
Geracao 224: 5
Geracao 225: 5
Geracao 226: 5
Geracao 227: 5
Geracao 228: 5
Geracao 229: 5
Geracao 230: 5
Geracao 231: 5
Geracao 232: 5
Geracao 233: 5
Geracao 234: 5
Geracao 235: 5
Geracao 236: 5
Geracao 237: 5
Geracao 238: 5
Geracao 239: 5
Geracao 240: 5
Geracao 241: 5
Geracao 242: 5
Geracao 243: 5
Geracao 244: 5
Geracao 245: 5
Geracao 246: 5
Geracao 247: 5
Geracao 248: 5
Geracao 249: 5
Geracao 250: 5
Geracao 251: 5
Geracao 252: 5
Geracao 253: 5
Geracao 254: 5
Geracao 255: 5
Geracao 256: 5
Geracao 257: 5
Geracao 258: 5
Geracao 259: 5
Geracao 260: 5
Geracao 261: 5
Geracao 262: 5
Geracao 263: 5
Geracao 264: 5
Geracao 265: 5
Geracao 266: 5
Geracao 267: 5
Geracao 268: 5
Geracao 269: 5
Geracao 270: 5
Geracao 271: 5
Geracao 272: 5
Geracao 273: 5
Geracao 274: 5
Geracao 275: 5
Geracao 276: 5
Geracao 277: 5
Geracao 278: 5
Geracao 279: 5
Geracao 280: 5
Geracao 281: 5
Geracao 282: 5
Geracao 283: 5
Geracao 284: 5
Geracao 285: 5
Geracao 286: 5
Geracao 287: 5
Geracao 288: 5
Geracao 289: 5
Geracao 290: 5
Geracao 291: 5
Geracao 292: 5
Geracao 293: 5
Geracao 294: 5
Geracao 295: 5
Geracao 296: 5
Geracao 297: 5
Geracao 298: 5
Geracao 299: 5
Geracao 300: 5
Geracao 301: 5
Geracao 302: 5
Geracao 303: 5
Geracao 304: 5
Geracao 305: 5
Geracao 306: 5
Geracao 307: 5
Geracao 308: 5
Geracao 309: 5
Geracao 310: 5
Geracao 311: 5
Geracao 312: 5
Geracao 313: 5
Geracao 314: 5
Geracao 315: 5
Geracao 316: 5
Geracao 317: 5
Geracao 318: 5
Geracao 319: 5
Geracao 320: 5
Geracao 321: 5
Geracao 322: 5
Geracao 323: 5
Geracao 324: 5
Geracao 325: 5
Geracao 326: 5
Geracao 327: 5
Geracao 328: 5
Geracao 329: 5
Geracao 330: 5
Geracao 331: 5
Geracao 332: 5
Geracao 333: 5
Geracao 334: 5
Geracao 335: 5
Geracao 336: 5
Geracao 337: 5
Geracao 338: 5
Geracao 339: 5
Geracao 340: 5
Geracao 341: 5
Geracao 342: 5
Geracao 343: 5
Geracao 344: 5
Geracao 345: 5
Geracao 346: 5
Geracao 347: 5
Geracao 348: 5
Geracao 349: 5
Geracao 350: 5
Geracao 351: 5
Geracao 352: 5
Geracao 353: 5
Geracao 354: 5
Geracao 355: 5
Geracao 356: 5
Geracao 357: 5
Geracao 358: 5
Geracao 359: 5
Geracao 360: 5
Geracao 361: 5
Geracao 362: 5
Geracao 363: 5
Geracao 364: 5
Geracao 365: 5
Geracao 366: 5
Geracao 367: 5
Geracao 368: 5
Geracao 369: 5
Geracao 370: 5
Geracao 371: 5
Geracao 372: 5
Geracao 373: 5
Geracao 374: 5
Geracao 375: 5
Geracao 376: 5
Geracao 377: 5
Geracao 378: 5
Geracao 379: 5
Geracao 380: 5
Geracao 381: 5
Geracao 382: 5
Geracao 383: 5
Geracao 384: 5
Geracao 385: 5
Geracao 386: 5
Geracao 387: 5
Geracao 388: 5
Geracao 389: 5
Geracao 390: 5
Geracao 391: 5
Geracao 392: 5
Geracao 393: 5
Geracao 394: 5
Geracao 395: 5
Geracao 396: 5
Geracao 397: 5
Geracao 398: 5
Geracao 399: 5
Geracao 400: 5
Geracao 401: 5
Geracao 402: 5
Geracao 403: 5
Geracao 404: 5
Geracao 405: 5
Geracao 406: 5
Geracao 407: 5
Geracao 408: 5
Geracao 409: 5
Geracao 410: 5
Geracao 411: 5
Geracao 412: 5
Geracao 413: 5
Geracao 414: 5
Geracao 415: 5
Geracao 416: 5
Geracao 417: 5
Geracao 418: 5
Geracao 419: 5
Geracao 420: 5
Geracao 421: 5
Geracao 422: 5
Geracao 423: 5
Geracao 424: 5
Geracao 425: 5
Geracao 426: 5
Geracao 427: 5
Geracao 428: 5
Geracao 429: 5
Geracao 430: 5
Geracao 431: 5
Geracao 432: 5
Geracao 433: 5
Geracao 434: 5
Geracao 435: 5
Geracao 436: 5
Geracao 437: 5
Geracao 438: 5
Geracao 439: 5
Geracao 440: 5
Geracao 441: 5
Geracao 442: 5
Geracao 443: 5
Geracao 444: 5
Geracao 445: 5
Geracao 446: 5
Geracao 447: 5
Geracao 448: 5
Geracao 449: 5
Geracao 450: 5
Geracao 451: 5
Geracao 452: 5
Geracao 453: 5
Geracao 454: 5
Geracao 455: 5
Geracao 456: 5
Geracao 457: 5
Geracao 458: 5
Geracao 459: 5
Geracao 460: 5
Geracao 461: 5
Geracao 462: 5
Geracao 463: 5
Geracao 464: 5
Geracao 465: 5
Geracao 466: 5
Geracao 467: 5
Geracao 468: 5
Geracao 469: 5
Geracao 470: 5
Geracao 471: 5
Geracao 472: 5
Geracao 473: 5
Geracao 474: 5
Geracao 475: 5
Geracao 476: 5
Geracao 477: 5
Geracao 478: 5
Geracao 479: 5
Geracao 480: 5
Geracao 481: 5
Geracao 482: 5
Geracao 483: 5
Geracao 484: 5
Geracao 485: 5
